,Gene Description,Gene Accession Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1570,DPH2L,U34880_at,-0.388209189,0.07390822,0.079317888,-0.27768058,0.029850553,0.320396865,0.695310244,0.270150202,0.530604231,0.171586184,-0.080351702,-0.093162501,-0.13097905,-0.855572687,-0.246237229,-0.02981914,0.032280649,-0.405033811,-1.207606614,0.202289273,-0.008243319,0.565501547,-0.426202573,-0.841341452,0.439794736,-0.048347315,-1.216362346,-0.958913762,-1.063445157,-0.283986959,0.501206368,0.41929962,0.220916956,0.478363743,0.171586542,0.272106065,0.247990985,0.448353667,0.557690931,-1.254586207,0.064579075,-1.24638365,-1.196632989,-0.064003867,0.229837244,0.476467893,-0.44601677,-0.305025403,-0.476968872,0.539570336,0.261286184,-0.364368266,0.474153666,0.345987345,0.472842287,0.635849973,-1.058009908,0.411887408,-1.098814617,-0.592689627,-0.540278508,0.004886011,-0.483243893,-0.33567448,-0.998466905,0.482896578,-0.270054539,0.197993095,0.508953793,0.493959995,0.558734818,0.037005322
1571,Transcription factor HCSX (hCsx) mRNA,U34962_at,0.297741413,-0.146569157,0.234981774,0.085129503,-0.252881157,0.300711184,0.3435723,0.59367032,-0.02246285,0.274266252,0.097285009,0.437505858,-0.117358681,-0.156503699,-0.015321673,0.238329435,-0.089779897,-0.192642982,0.44547785,-0.10797481,-0.300354479,0.340995506,0.262675978,-0.075674067,0.683656174,0.183348631,0.214625073,-0.055839283,0.367730733,-0.200983441,0.216862509,0.129219393,0.522100839,0.248432741,0.637640449,-0.070297242,0.874412492,0.843734256,0.326543188,0.305430836,-0.223700939,0.701928513,0.494307304,-0.311899303,-1.06247623,-0.337859765,0.39156113,0.129505838,0.158902342,-0.542695652,0.136324098,-0.562023509,-0.006048441,0.075278697,0.022536712,0.230594238,0.121893775,0.657896564,-0.336575044,0.198647862,-0.120671254,0.348136455,0.082483902,0.535386757,0.179382718,0.350189999,-0.403503448,-0.65566449,-0.386828954,0.731702973,0.115101362,0.064534479
1572,TSC-22 protein mRNA,U35048_at,0.014195388,0.997258499,0.17244295,-0.724619604,0.849251554,0.004450082,-0.928084369,-1.032777288,0.338309323,1.675629039,0.957789476,-0.074810038,0.796865866,0.197213054,0.235775817,-0.257000335,0.099493623,-1.179975696,0.77253729,-0.258867971,0.462035157,-0.65877508,-0.036480303,-0.134905976,1.092553942,-1.24631406,-1.111135102,2.072284121,0.11145738,-1.272406126,-0.956362091,0.365756725,0.632859972,-1.314257825,-0.612851689,-1.365587283,-0.058038023,1.055753063,0.342944629,0.023568874,-0.213214221,0.178947285,-0.084495266,-1.072448275,-0.092494827,-0.818219915,-0.019036554,-0.521087522,-1.304079068,0.00046492,-0.603107184,-0.990861792,-0.62107986,-1.3272715,-0.575290745,-0.650467449,-1.058009908,-0.658693612,-0.794257681,-1.110465113,-0.606290328,-1.243152944,-1.420360839,-0.136397481,1.810290197,-0.40648141,-0.64179366,-0.064441614,-0.40585186,-0.329911491,0.927570894,0.947266915
1573,Metastasis-associated mta1 mRNA,U35113_at,-1.414095164,0.137634909,-1.423498758,-0.225377611,0.47394299,-1.192833271,-1.33742052,-1.335413943,-0.217378006,0.09682039,0.523892265,-1.01377406,0.459858261,0.154577073,0.312678467,-0.632209155,-1.510219388,-1.080247081,-0.268691844,0.682138304,-1.045769178,-1.111595482,0.902910161,-0.784730317,-0.662420623,0.072617889,-0.54531989,-1.385727619,-1.063445157,-0.056464102,-1.228487646,-0.718155947,-1.434727011,-0.748235757,-1.214385383,-1.365587283,-1.31181697,-1.299149559,-1.225212914,-1.254586207,-0.440189467,0.481233139,-1.196632989,-0.36130633,-0.810361036,-0.043904634,0.112195486,0.630161587,-1.304079068,-1.280712643,-0.691277078,-0.990861792,-1.443618533,-0.190332259,0.599925838,0.224423515,-1.058009908,0.184444869,-0.664131239,-1.110465113,-0.076528264,-0.995333099,-1.420360839,0.411307436,-0.551640255,-0.16323601,-0.021866101,0.547024924,0.176526222,-1.041303633,-0.859708995,0.531516262
1574,Heterochromatin protein p25 mRNA,U35451_at,-0.135481316,0.276409593,0.494856671,-0.339171662,-0.10866248,0.297086216,-0.166015725,-1.072175128,0.493799441,0.465279541,0.549423264,-1.01377406,0.524126914,-0.081154015,0.143494943,-1.357386275,0.073504773,0.714427953,-1.207606614,0.102873951,0.583453444,-0.262867802,0.23083373,0.253384145,-1.080926701,-1.24631406,-0.224567503,-0.725061392,-1.063445157,-0.884285237,-0.518712081,-0.452257419,-1.434727011,-0.651993983,-1.214385383,-0.733979729,-0.971203957,-0.700290769,-0.685133968,-0.312728842,0.194740577,-0.969899547,-1.124204025,0.495715596,-1.06247623,-0.118636482,-1.270905826,-1.431552747,-0.753045181,-1.280712643,-0.794532492,-0.990861792,-1.443618533,-0.235519546,-0.126568081,-0.992101706,-0.438391026,-1.224099054,-1.098814617,-0.09394948,-1.216220492,-0.553050821,-0.440827626,-0.305570568,-1.143157921,-0.88645528,-0.37295064,0.048755897,-1.090815343,-0.160734284,-0.387708707,-0.122258975
1575,Pancreatic zymogen granule membrane protein GP-2 mRNA,U36221_at,0.266770339,-0.017720706,0.155726228,0.211627217,0.081747336,0.191345756,0.067324097,0.452560152,-0.95930389,0.558390254,-0.39744711,-0.039121692,0.527382985,0.117157138,0.08065051,0.609885722,-1.510219388,0.193693692,0.225824507,0.116380974,-0.521462455,0.082874729,0.542882672,-0.082071045,0.495447286,0.292492001,0.901913179,0.13557156,0.043737597,-0.052684769,-1.228487646,0.180965285,0.625355872,0.596150125,0.667932701,0.434173444,0.322998843,0.38758032,0.357457422,0.669547395,-1.145432169,0.004629261,-1.196632989,0.395670618,-1.06247623,0.350398511,0.030984565,0.269172839,0.914193518,-0.228396899,0.27936499,0.087660896,-0.000985548,0.383953726,0.607834431,0.038605103,-0.48228631,0.705276409,0.342237163,0.580900514,0.493490987,0.481717351,0.366546288,1.061635643,-0.721605783,-0.441804981,-0.321827202,-1.362381334,-0.290202589,-0.235419407,0.492637137,0.341455479
1576,EIF3 Eukaryotic translation initiation factor 3 (eIF-3) p36 subunit,U36764_at,0.701293384,1.274552002,0.758679185,0.914775162,1.428538882,0.872065052,0.680010616,0.492327549,1.095681614,1.167831075,1.138487586,1.370688567,0.537079593,0.86446068,1.232143639,0.961543792,0.8827929,1.074301031,0.21317314,1.25732485,0.031544311,1.069190668,0.713460526,1.238637027,1.108723848,1.188792062,1.095538695,0.992809987,1.03399849,1.448627185,1.06036512,0.600480992,0.704468684,0.730061314,0.721958508,0.433223035,1.044011037,1.183166195,0.734498003,0.78459177,0.860919194,0.720279763,0.617044407,0.822451274,0.939841723,0.955717581,0.691419599,0.635759227,0.81830684,1.097045261,0.651272274,0.995596155,0.444320059,1.017823534,0.994967553,0.475876977,0.877740097,0.778842142,0.286046715,0.987300087,0.807998546,0.457046081,0.734475652,0.07867551,0.882776733,1.34315911,0.635969157,1.124959497,0.708757742,1.193462751,0.865696742,0.80649271
1577,CGMP-inhibited cAMP phosphodiesterase mRNA,U36798_at,0.145959027,-0.699766471,0.002267717,-0.028564033,-0.996072383,-0.528718318,0.339114633,0.214111585,-0.155863353,-0.946849446,-0.376919396,-0.308155773,-0.573304179,-0.396558719,-0.472746338,-0.807193305,-0.290952365,-0.461906757,-0.433957097,-0.491708498,-0.183957113,-0.028666619,-0.00556363,-0.856053057,-0.347116845,-0.439219822,0.29276154,-1.185740377,-0.718876081,-0.519058801,-0.457388495,-0.864232071,-0.194599445,-0.923806681,0.218149814,-0.677738206,-0.194309775,-1.299149559,-1.225212914,-0.156450424,-0.891997792,-0.433328741,-0.400576155,-0.618353902,0.356278149,-0.368053707,-0.619639947,-0.261291808,0.154097776,-0.317278529,-0.282876562,-0.990861792,-1.443618533,-0.889447878,-0.382504872,-0.191112255,0.166809455,0.081635474,-1.098814617,-0.49766533,-0.169899449,0.118535044,-0.729936859,-1.028157833,0.465653054,-0.785134322,-0.64179366,-0.57403072,-0.376141284,-0.334437534,-0.142033143,-0.767336612
1578,"GB DEF = Fork head domain protein (FKHR) mRNA, 3' end",U36922_at,0.711887703,-1.335163026,-1.423498758,-1.12118108,-0.734177243,-1.192833271,-1.33742052,0.322901224,-1.424392336,-1.185748659,-1.243743654,-1.01377406,0.859226609,-1.356060601,0.698417156,0.761666901,-1.037669418,-0.24506678,0.66019142,1.239949341,1.206113652,0.834349088,-1.187118125,-1.407322313,-0.703454758,0.956353871,-0.41908321,-1.268296572,-1.063445157,-1.23211605,-1.228487646,-1.378014419,-1.067621731,-1.314257825,-1.214385383,-1.365587283,-1.31181697,-1.299149559,-0.763879471,-0.534900094,-0.234306154,0.503339907,0.817409102,0.96061586,-0.688242701,-0.961493135,-1.270905826,0.585719447,-0.335956305,-1.280712643,-1.227021204,-0.990861792,-1.328964298,-1.3272715,-1.156389118,0.899902511,-1.058009908,-1.224099054,-0.711569899,-1.110465113,-1.216220492,-1.31109581,-1.378358554,-1.481627658,-1.143157921,-0.667157703,-1.183311149,-1.362381334,-0.075592032,-1.041303633,0.362728758,1.754512323
1579,Cleavage and polyadenylation specificity factor mRNA,U37012_at,1.263866074,0.691354577,0.97943082,0.85054267,1.056635889,1.277105759,1.155357063,1.550732686,0.54279144,0.32763483,0.755120565,1.051521081,0.615945731,1.010244765,1.012854399,0.848046344,0.151459397,0.521052692,0.88350923,0.557830491,0.759283433,0.923273408,1.432264457,0.906667879,1.17477427,0.899739885,0.942733544,0.856860751,0.911271623,0.118662393,0.553531191,0.696353051,0.880619143,0.51138363,1.395738045,-0.054747067,0.852329932,1.085742368,1.159276773,0.826124033,0.987075003,1.229653088,0.316144343,1.198512845,1.186448793,1.164993069,0.709503259,0.572958808,0.74684289,0.587737413,1.21054702,0.409500439,0.669607463,0.337330249,0.387749719,1.051680474,0.745850352,0.92644104,1.150291426,0.527474879,-0.47878139,0.283852066,0.23868864,1.117898921,0.393762034,1.309041821,0.721372918,0.522112644,0.819986829,0.95402791,0.429914645,0.73912375
1580,Cyclin-dependent kinase 4 (CDK4) gene,U37022_rna1_at,0.121089597,-0.173863221,-0.002782828,0.186312334,0.608455242,0.147529299,-0.08227562,0.174713745,0.64874255,0.213665893,-1.002632039,-0.111871344,0.261271627,0.419438408,0.57130181,-0.347949679,0.577316429,-0.068444441,-0.060498507,0.768541966,-1.045769178,-1.111595482,0.154463584,0.223124172,-0.013665361,-0.120754356,-0.099385998,0.127326544,-0.528723356,0.041640445,0.199406219,-0.425466658,-0.944485161,-0.114213699,0.153237327,-0.231482134,-0.539482688,-0.65983018,0.025219065,-0.035377766,0.41979658,-0.240727286,-0.420991534,0.707172438,0.603128355,-0.185087357,0.67432196,0.07796114,0.339836197,-0.948840721,-0.681052732,0.102521921,-0.250476446,0.887689548,0.441566702,0.135929841,0.412189991,-1.128183745,-0.183636346,-0.018036604,0.29242431,-1.31109581,-0.90483682,-0.977618619,-0.082817406,0.461372116,-0.80116264,0.253640279,0.180756534,-0.211196148,-0.866245429,-1.29024248
1581,ADD3 Adducin 3 (gamma),U37122_at,1.749278761,0.236898022,0.764278235,1.523306798,1.407698448,0.77156928,1.29039018,1.246131473,0.922389425,0.231121311,-0.09750014,1.035576683,0.835115162,1.177291793,1.284627057,1.331332471,0.738843586,0.445635937,0.343844568,0.379393201,0.764265837,1.016242728,1.347070277,0.894101421,0.298034906,0.854397571,0.959820479,0.344053906,0.284876648,0.748024501,0.779614184,1.15626444,0.700338106,0.998886133,0.810051681,0.785843821,0.228514501,-0.001662226,1.20327778,0.685796717,0.946541467,0.793881306,0.833872123,1.789597943,0.323323484,0.515643,0.533238176,0.675485753,1.29641457,0.338917893,0.60470188,0.69846633,0.984676788,1.119450527,0.469214698,0.276649935,0.501925555,1.074923241,0.953618189,0.906539065,0.349428922,1.102862777,0.981429497,0.957551227,0.547180029,0.469255971,0.706532268,0.734076282,1.155201073,1.161918656,1.628245344,1.397085025
1582,"Beta 3-endonexin mRNA, long form and short form",U37139_at,-0.244258717,-0.57422857,-0.269498252,-0.175887228,-0.373609848,0.119319132,-0.221821079,-0.102118883,-0.30120656,-0.423381973,-0.36682984,-0.543039343,-0.324661369,-0.118051836,-0.219227681,-0.329039098,0.024319566,0.11568875,-0.272225697,-0.157121497,0.339874292,-0.865332107,-0.452344413,-0.496207015,-0.036209123,-0.311479138,0.146579198,-0.281074021,-0.275058581,-0.636464041,-0.522689639,-0.260117054,-0.93027521,-0.323826694,-0.13644095,-0.975398576,-0.560487335,-0.442319279,-1.225212914,-0.017047941,-0.047907532,-0.505301546,0.00886931,-1.072448275,-0.992588515,-1.037629184,-0.818673334,-0.065263758,0.141153678,-0.64693164,-0.575499664,-0.443630012,-0.453602783,-1.3272715,-0.319058815,-0.79169103,-0.270769209,-0.736408702,-0.399514365,-0.406669452,-0.557413455,-0.402125591,-0.429860903,0.085977849,-0.508988986,-0.680297597,-1.08806386,-0.29383176,-0.841703535,-0.390496654,-0.962848924,-0.469600674
1583,Cyclophilin-like protein CyP-60 mRNA,U37219_at,0.913394581,0.889317518,1.042422158,0.853034038,0.664521763,1.288289608,1.533079585,0.773491136,0.754174553,0.876570392,0.550621005,1.351025126,0.608072907,0.55175647,0.722582962,1.133382568,0.055718839,1.076105792,1.122082389,0.132699279,-0.219901969,1.398444796,1.339671373,0.337280612,0.913844645,-1.24631406,1.137682696,1.235051438,1.02233357,0.441658321,0.779614184,1.188117494,1.192144821,1.021027163,1.117576019,0.860717833,0.982252177,1.22388337,1.143224829,1.115325422,0.563968838,0.747122951,1.01627464,0.891973366,0.851587655,0.221958049,0.709503259,0.64290346,1.155002459,1.251575456,-1.227021204,1.103426035,0.983038658,0.592232323,1.230344275,0.86413991,0.992944126,0.742795129,1.229679761,0.273201555,1.046413286,0.730460318,1.028753597,1.315353895,1.150706384,0.644356005,0.683218614,0.582644058,0.173694626,0.968004643,0.989325627,0.76375689
1584,Alpha-mannosidase (6A8) mRNA,U37248_at,-1.414095164,-0.049195787,-1.406313055,-1.3627031,-0.664046366,-0.423462858,-0.69478303,-1.249688136,-1.118207362,-1.185748659,-1.243743654,-1.01377406,-1.009469683,-1.356060601,-0.72169135,-0.265707765,-1.510219388,-1.179975696,-1.207606614,0.335116441,-1.045769178,-1.111595482,-1.187118125,0.013392205,-1.217174178,-0.318128021,0.230396386,-0.492235486,-0.610360991,-0.212342392,-0.230050375,-1.404189209,-0.615827573,-0.314798889,-1.096932898,-1.365587283,-1.31181697,-0.408476612,-1.216155572,-1.254586207,-1.145432169,-1.24638365,-1.196632989,-0.585370989,-1.06247623,-1.120330201,-0.256430041,-0.922275715,0.150879853,-1.280712643,-1.227021204,-0.079934028,-0.568031232,0.107592626,0.110563396,-0.454153346,-0.427712241,0.094859889,-1.098814617,-1.110465113,-1.216220492,0.567753022,-0.810829762,0.38999961,-0.59128408,-0.367663364,-0.472036994,0.048755897,-0.704031679,-0.967980527,-1.103614663,-1.29024248
1585,ZNF177 KRAB zinc finger protein {alternative products},U37251_at,-0.219479651,0.034770393,0.015593885,-0.035069784,-0.092698292,0.11711282,0.597200588,-0.240007575,0.044382727,0.120986329,-0.656633367,0.070067683,-0.480128258,-0.078896667,-0.338199028,0.473381162,0.053146814,-0.089580679,-0.384868298,0.160482503,-1.045769178,0.121506994,0.597332039,-0.67687389,0.207364466,-0.028667382,0.546994855,0.006941867,-1.063445157,-0.467631587,-0.295416028,-0.19223717,0.37268794,0.094737367,0.423896222,-0.649231292,0.153554227,0.407853774,-0.483022716,0.265805578,-0.371901065,-0.380316533,0.039728208,0.003803162,0.674250949,-0.875961049,-0.8064832,0.149294699,0.029979659,-0.498470036,-0.337220419,-0.500807123,-0.067387267,-0.211316902,-0.298799644,0.5554696,0.018735589,0.407225955,-0.07661661,-0.533504061,0.273735947,0.217647038,0.067327242,0.714104503,-0.106448876,-0.129377468,-0.423131729,-0.899803492,0.063531572,-0.424788845,-0.619449135,-0.547588612
1586,"PPP2R4 Protein phosphatase 2A, regulatory subunit B' alpha-1",U37352_at,-0.382342488,-1.168686837,-0.529943915,0.040119736,-0.231586313,-1.192833271,0.385585392,-0.448730691,-0.386986757,-1.185748659,-0.881697275,-1.01377406,0.335707315,0.049209508,1.008719157,-0.137805296,-0.22016515,-0.907452731,-0.531132396,0.284086826,0.265605564,-1.111595482,-1.187118125,0.768328352,-1.217174178,-0.838296267,-0.910599283,-1.350576963,-1.063445157,-1.193700624,-1.136128491,-0.547909592,-0.693945582,-1.070078348,-1.214385383,-1.365587283,-1.31181697,-0.691140442,-1.225212914,-0.738395339,0.342308265,-0.82376577,-0.70838989,-0.952174071,-0.73134669,-0.712219102,-1.015048716,0.489350025,-0.490389612,-1.280712643,-1.227021204,-0.770119602,-1.060130399,-0.744759972,-1.156389118,-0.734930885,-1.058009908,-0.720331073,-0.635672036,-1.110465113,-1.216220492,-0.402125591,-0.7654013,-0.841475935,-0.468224643,-1.018678067,-0.754348281,-0.042381221,0.131573904,-0.821116522,-1.146750514,-0.767336612
1587,CtBP mRNA,U37408_at,0.004693363,0.520380022,0.817055423,-1.266633455,0.037727049,0.974886732,0.591556754,-1.335413943,1.120367879,-0.545534022,0.588124312,-0.365408764,1.006705192,0.947980122,1.092231655,0.807243868,0.033600155,0.142404163,1.226845651,0.779451395,0.730092386,0.700030122,0.617695075,0.124193847,0.336002141,0.358649782,-0.373031767,0.224565291,0.461863094,-0.777897274,0.460155291,0.467652452,-0.583980818,-0.065195691,-1.214385383,-0.039482814,-1.31181697,-1.299149559,-0.024508156,-0.643661858,1.021277021,-0.785262883,-0.194620867,0.940351778,-0.070909278,0.664073151,0.976519035,0.857482317,0.624403328,-0.42938271,-1.227021204,-0.495895654,-0.33007988,0.867707557,0.191264756,-0.839602462,-1.058009908,-0.600931297,0.479503569,0.412659398,0.338313331,0.058874454,0.491967793,0.629305335,-1.143157921,0.327663764,0.738202158,0.907890615,0.973870937,0.889719993,0.774416443,0.453082772
1588,TNF-related apoptosis inducing ligand TRAIL mRNA,U37518_at,-1.387216297,-0.487343961,-1.332929956,-1.3627031,-1.229656788,-1.192833271,-1.33742052,-1.335413943,-1.424392336,-1.185748659,-1.243743654,-1.01377406,-1.318316435,-1.356060601,-1.339686102,-1.357386275,-1.510219388,-1.179975696,-1.207606614,-1.534413371,-1.045769178,-1.111595482,-1.187118125,-1.434645277,-1.217174178,-1.24631406,-1.216362346,-1.385727619,-1.063445157,-0.874026934,0.371857302,-1.404189209,-0.237169453,-1.314257825,-1.214385383,0.644497175,0.568721323,-1.299149559,-1.225212914,-1.254586207,-1.145432169,-1.24638365,-1.196632989,-1.072448275,-1.06247623,-1.120330201,-1.270905826,-1.035225334,-1.304079068,-1.280712643,-0.891483304,-0.674762915,-1.142965727,-0.127718097,-1.07276409,-1.292206597,-1.058009908,-0.587040639,-0.711569899,-1.110465113,-1.216220492,0.979391928,0.730238353,-1.481627658,-1.143157921,-1.018678067,-1.183311149,-1.362381334,-1.061304876,-1.041303633,-1.21065485,-1.29024248
1589,ALDH8 Aldehyde dehydrogenase 8,U37519_at,0.335692365,-1.335163026,-0.351295284,0.304948315,-0.172985927,-0.403784841,-0.295957618,0.321476932,0.066006685,-0.403883089,-0.222048537,-0.308155773,-0.748369713,-0.206963875,-0.519219738,-0.319725171,-1.510219388,-1.179975696,-0.353498879,-0.56523622,-0.766177505,0.006209153,-0.065483067,-0.583973046,-0.505985538,0.287332428,0.192492602,-0.550297143,-0.482981807,-1.272406126,0.090749214,-0.365937578,0.222128944,0.267504328,0.420395267,-0.239996899,-0.435427684,0.078996539,0.036668969,-0.367341077,-1.145432169,-0.45544084,-0.290178016,-1.072448275,-0.658660537,-0.651461038,-0.263346368,-0.004770379,-0.101913043,-0.613519769,0.177227794,-0.804387777,-0.406886558,-0.21397443,0.16178262,-0.58684597,-0.2798876,-0.169543242,-1.098814617,-1.110465113,-0.782250428,-1.31109581,-0.47746618,0.773700934,0.240914722,-1.018678067,-0.141913254,-0.557272729,-0.677415115,-1.041303633,-0.784608979,-0.016099693
1590,IAP homolog B (MIHB) mRNA,U37547_at,-0.66464321,-1.022791993,-0.918223141,-1.164680191,0.017907293,-1.192833271,-0.741757834,-1.335413943,-0.553861001,-1.185748659,-0.056411495,-1.01377406,-0.069145505,-0.640282595,-0.193028912,0.365445373,-0.832356857,0.065114996,-0.109913208,0.371181204,-0.384219082,-1.111595482,-0.813063918,-1.434645277,-1.217174178,-0.899082842,-1.216362346,-1.385727619,-0.353589353,-1.272406126,-1.228487646,-0.59634832,-1.353693442,-0.691993122,-1.214385383,-0.371902049,-0.132000682,0.055551432,-0.820435258,-0.914147313,-0.444627071,0.215063788,0.17608721,-1.027662531,-1.06247623,-0.687452389,-0.8064832,0.340394514,-1.304079068,-1.280712643,-0.917405628,-0.990861792,-0.21323532,-1.034966109,-1.156389118,-1.292206597,-0.729214306,-1.224099054,-0.842046598,-0.762327903,-1.216220492,-0.635324296,0.028225331,0.08306423,-1.143157921,-0.259938723,0.254019576,-0.810431834,0.165144529,-0.564199903,0.135759777,-0.384015804
1591,RNA polymerase II subunit (hsRPB8) mRNA,U37689_at,0.571713024,0.409259708,0.591984595,0.810604413,0.467834648,0.920316321,0.537942494,0.554932459,0.646606855,0.609243783,0.196914132,0.352701017,0.232977462,0.497035764,0.666580504,-0.007424724,-0.085207922,0.637718061,-0.194101859,0.140735836,0.412198769,0.304341461,0.958867937,0.867678562,0.378937366,-0.048347315,0.485214776,0.577489188,-0.4731163,-1.272406126,0.394771337,0.440503914,-0.214605285,0.279998862,0.81587954,-0.008151461,-0.222470984,-0.104384646,0.874361285,0.982574493,0.708647191,-0.117358777,0.541486906,0.612657943,0.718748514,0.356596531,0.398627813,0.3130672,0.35269855,0.313659828,-0.456601401,0.659314695,0.171082623,0.325657478,0.809126382,0.698754925,0.326145275,-0.059671564,0.332450287,0.348586114,-0.081610523,0.350827986,-0.68848624,0.863607022,0.240914722,0.502048187,-0.217887203,0.116150047,0.244496556,0.441179906,0.643333031,-0.230765008
1592,RNA polymerase II subunit (hsRPB10) mRNA,U37690_at,1.04234837,1.383991246,1.093067233,1.21572367,1.530787778,1.622203229,1.05495642,1.103905847,1.351424152,1.338868273,1.198397122,1.754834142,0.905555317,1.462200527,1.396687168,1.28354269,1.040273528,1.317768488,1.172053673,1.038162578,2.256799717,1.0172149,0.905042268,1.272857841,1.420198947,1.252397178,0.903808106,1.07874541,1.734370731,1.452901116,1.659019942,1.18145587,1.091617554,1.479256823,1.397008384,1.023272029,1.508040903,1.601175342,1.192475321,1.292013,1.603137996,1.209966454,1.666809512,1.482851059,1.50121587,1.363756583,1.623332746,1.290771305,1.0371742,1.364636681,1.413533879,2.301481413,0.904761566,1.689369676,1.552098925,1.43912791,1.590434477,1.485458779,0.91670127,1.550834514,1.268841653,1.420547626,1.369089304,1.078150559,1.470572377,1.754398774,0.671334593,0.942328618,1.27684001,1.376398981,1.100266387,1.049546569
1593,DLG3 Homolog 3 of Drosophila large discs,U37707_at,0.233222484,0.087716239,0.705846681,-0.026405627,0.273270037,-0.411605554,0.271126893,0.001279838,-0.132105748,0.525622829,-0.125131258,-0.111871344,0.25391347,-0.564313905,0.283269474,0.174964064,-0.771471603,0.189143107,0.325166041,-0.232993739,-0.850171314,0.434080712,0.45318993,-0.016017263,0.827971376,0.312844963,0.723666777,-0.037733074,-0.066542783,-0.111275489,0.114350751,0.412496647,0.377745712,0.405775302,0.515490349,-0.075546042,0.066287693,0.472301346,0.889644944,-0.009299088,-0.494877838,-0.353271485,-0.539609978,-0.590786495,-0.670378017,-0.284187545,0.256771522,0.119439297,0.627197156,0.120105706,0.1022394,-0.572660108,0.367169927,0.648474635,0.256760965,0.480649599,0.152060931,0.227110298,0.174006197,-0.144655241,0.307431178,0.316579256,0.154505485,0.507102472,0.203208593,0.443389495,-0.016767318,-0.232712475,-0.183775811,-0.74835368,0.511127338,0.346069116
1594,HuR RNA binding protein (HuR) mRNA,U38175_at,-1.414095164,-0.238584602,-1.11309112,-1.3627031,-0.370542384,-1.192833271,-1.33742052,-1.335413943,0.11035674,-0.101370408,-1.243743654,-1.01377406,-0.356587201,0.033397913,-0.20722158,-0.332164449,-0.453526561,-0.095706475,-1.207606614,-0.414314511,-1.045769178,-1.111595482,-1.187118125,-0.812602568,-1.113140039,-0.28214138,-0.536348673,-1.17859909,-0.966667006,-0.396038814,-0.097316313,-0.640086392,-1.434727011,-0.609531838,0.055836469,-1.341048087,-0.674036475,-1.299149559,-1.225212914,0.124845838,-1.145432169,-0.122496962,-1.196632989,0.414029743,0.218829932,0.20281214,-1.270905826,-1.184464655,-0.476968872,-1.280712643,-1.190931024,-0.948566969,-1.443618533,-0.260385358,-0.850903383,-0.66575757,-1.058009908,-1.224099054,-1.098814617,-0.415849658,-0.557413455,-1.243152944,-0.819353357,-1.37479907,-1.143157921,-1.018678067,-0.597504005,-0.344020018,-0.425296861,-1.041303633,-1.21065485,-1.29024248
1595,"GB DEF = Cytochrome b pseudogene, partial cds",U38268_at,-0.178845551,-0.87689715,-0.26491856,0.184599664,-0.297016785,0.181101188,0.17128647,-1.335413943,-0.155863353,-0.518881493,-0.248015621,0.176572035,-0.543570848,-0.161426066,-0.287078823,-0.265707765,-1.112131736,-0.561590296,-0.290095123,-0.83756899,-0.264999796,0.310550733,-0.221932017,-1.434645277,0.439794736,-0.199368676,-1.216362346,-0.560945508,0.226758662,-0.144311204,0.267255922,-0.233753333,-0.15405967,-0.05615284,0.763339149,-0.00977133,-0.512256607,-1.299149559,-0.024508156,0.228474825,-0.614856042,-1.24638365,-1.196632989,0.080113902,0.161698382,-0.095269769,-0.538126348,-0.088853933,-0.313616474,-0.112286904,-0.456601401,-0.420876162,-0.014552244,-0.653929692,-0.395707511,-0.47505349,-0.758368404,-1.224099054,-0.434919688,-0.874779382,-0.175539326,0.187448577,-1.292589607,-0.078345619,0.09439516,-1.018678067,-0.34703101,-1.093862156,-0.608997706,-1.041303633,-0.231445488,-1.049968
1596,Retinoid X receptor-gamma mRNA,U38480_at,-1.414095164,-1.335163026,-1.423498758,-1.3627031,-1.373415231,-1.192833271,-1.33742052,-1.326464215,-1.424392336,-0.384793017,-1.243743654,-1.01377406,-1.318316435,-1.356060601,-1.339686102,-0.413895388,-0.605930491,-0.656179407,-0.481301264,-1.219349166,-0.45261872,-1.111595482,-1.187118125,-1.434645277,-1.217174178,-0.482085192,-1.031726586,-1.385727619,-1.00070198,-1.272406126,-1.228487646,-1.404189209,-1.434727011,-1.314257825,-0.191186693,-1.365587283,-1.31181697,-1.299149559,-0.650594391,0.090727053,-0.440189467,-0.183798148,-1.009492047,-1.072448275,-0.095620793,-1.120330201,-0.697697437,-0.98205333,-0.273222502,-1.280712643,-0.971549576,-0.594333035,-0.352422397,-0.75920397,-0.046059326,-0.734930885,-1.058009908,-0.393049318,-0.581253335,-1.110465113,-0.531831897,-0.009143231,-1.420360839,0.147736653,0.20747516,-1.018678067,-0.528153194,-0.265077768,-0.797655166,-1.041303633,-0.432212102,-0.496147602
